Manufactor,Year,Model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test
מרצדס,2015, C-CLASS קופה,4,אוטומטית,1595,בנזין,,,רמת השרון - הרצליה,הרצליה,115000.0,1,2022-09-05,2022-09-05,"C Coupe 180 שחורה ושמורה בעלת שתי דלתות, גג פנורמי כפול נפתח עד הסוף! שמורה מאד Edition C ריפודי עור אלקנטרה וקיט ספורט. טסט עד יוני 2023 הדגם המפואר ריפודי עור בצבע שחור, עור בדלתות מערכת שמע מקורית כולל חיבור בלוטות׳ מנוע Start/Stop מצב ECO, חסכונית ונוסעת חלום... קילמוטרז נמוך, נהג יחיד בלבד. טיפולים בחלפים מקוריים בלבד, רכב פשוט מפנק במחיר מעולה למרצדס. הזדמנות אמיתית למרצדס שמורה במחיר מציאה &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; קיט ספורט, מושבי עור אלקנטרה שחורים, הגה מצופה עור, מערכת שמע מקורית כולל חיבור בלוטות׳",nan,111000,
מרצדס,2020, E-CLASS קופה,1,אוטומטית,1991,בנזין,,,קיסריה והסביבה,קיסריה,490000.0,1,2022-09-05,2022-09-05,ללא תאונות וללא תיקונים. חדש לגמרי. טסט לשנה ולאחר טיפול,nan,22000,
מרצדס,2007, C-CLASS,5,אוטומטית,2158,דיזל,,,מודיעין והסביבה,מודיעין מכבים רעות,12345.0,1,2022-09-01,2022-09-01,"רכב חזק ובטיחותי, יד ראשונה אחרי מונית. אצלי כ-8 שנים !! מטופל ומתוחזק במוסכים מורשי מרצדס בלבד. פנימי וחיצוני במצב מצויין. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת מולטמדיה משודרגת ( DVD, מצלמת רוורס + אנדררואיד + דיבורית בלותות'). ריפוד פנים בצבע אפור, ג'אנטים משודרגים.",nan,540000,
מרצדס,2021, GLA,2,אוטומטית,1332,בנזין,,,נתניה והסביבה,נתניה,260000.0,1,2022-08-31,2022-08-31,None,nan,26000,
מרצדס,2016, 180,1,אוטומטית,1600,בנזין,,,מושבים בשפלה,סתריה,159000.0,1,2022-08-31,2022-08-31,מצב חדש צמיגים חדשים טסט רכב שני במשפחה. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; צמיגים חדשים טיפולים כל שנה במוסך מורשה של החברה,nan,67000,
מרצדס,2017, E- CLASS,1,אוטומטית,1991,היברידי,,,באר שבע והסביבה,עומר,280000.0,1,2022-08-30,2022-08-30,מרצדס פלאג אין מצויין &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; איבזור מלא.,nan,160000,
מרצדס,2022, A-CLASS,1,אוטומטית,2000,בנזין,,,עכו - נהריה,נהריה,,1,2022-08-30,2022-08-30,"‎למכירה מרצדס A220
‎רכב חדש ביבוא מקביל 
‎מסירה מיידית!
‎‏Mercedes Benz A-Class 220 AMG
‎מנוע 2000 4x4 4MATIC
‎118 כ״ס
‎גלגלים 19 אינץ׳
 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; 
‎קיט AMG
‎מושבי עור חשמליים
‎חימום במושבים
‎גג פנורמי נפתח
‎דוושות אלומיניום
‎לוח מכוונים דיגיטלי
‎תאורת אווירה מרובת צבעים 
‎ועוד הרבה תוספות",nan,,
מרצדס,2022, A-CLASS,1,אוטומטית,2000,בנזין,,,עכו - נהריה,נהריה,,1,2022-08-30,2022-08-30,"למכירה מרצדס A220
רכב חדש ביבוא מקביל 
מסירה מיידית!
‏Mercedes Benz A-Class 220 AMG
מנוע 2000 4x4 4MATIC
118 כ״ס
גלגלים 19 אינץ׳ &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; קיט AMG
מושבי עור חשמליים
חימום במושבים
גג פנורמי נפתח
דוושות אלומיניום
לוח מכוונים דיגיטלי
תאורת אווירה מרובת צבעים 
ועוד הרבה תוספות",nan,,
מרצדס,2014, 200,2,אוטומטית,2143,דיזל,,,חולון - בת ים,חולון,45500.0,1,2022-08-28,2022-08-28,"מונית לשעבר.
טופל רק במוסך מרצדס 
שמור היטב",nan,246900,
מרצדס,2018, E- CLASS,3,אוטומטית,2000,היברידי,,,עכו - נהריה,נהריה,320000.0,1,2022-08-27,2022-08-27,"רכב plug in במצב חדש ניילון
הכי מושקע והכי יפה בארץ התמונות מדברות 
3 שכבות נאנו
מצלמות 360 
קיסאות קומפורט חשמחי 4 מצבים
חימום קיסאות 
טמבונים Gt brabous 
ק""מ נמוך 65000 
שמור ניילון 
 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; כל התוספות extra",nan,65000,
מרצדס,2015, GLA,2,אוטומטית,1600,בנזין,,,nan,כפר כנא,122000.0,1,2022-08-24,2022-08-24,"מרצדס GLA דגם Style במצב מעולה! ללא תאונות, נקי שמור ומטופל באופן קבוע, נהג יחיד.
 מנוע 1.6 סמ""ק טורבו כ 156כ""ס 119,000 ק״מ נמוך יחסית יד 2 פרטי ,הרכב חדש לחלוטין 4 צמיגים מישלין חדשים וברקסים חדשים, אחרי טיפול וטסט לשנה.הזדמנות!
כולל גג פנורמי נפתח, ריפודי עור בז׳ ותוספות Night Edition מהחברה ! והנעה בכפתור ללא מפתח. גמיש במחיר לרצינים בלבד. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; כולל גג פנורמי נפתח, ריפודי עור בז׳ ותוספות Night Edition מהחברה ! והנעה בכפתור ללא מפתח.",nan,119000,
מרצדס,2020, 300,2,אוטומטית,2000,בנזין,,,גליל ועמקים,נצרת,111111.0,1,2022-08-17,2022-08-17,רכב שמור מטובל בחברה ..,nan,57000,
מרצדס,2020, 300,2,אוטומטית,2000,בנזין,,,גליל ועמקים,נצרת,111111.0,1,2022-08-17,2022-08-17,רכב שמור מטובל בחברה ..,nan,57000,
מרצדס,2010, 220,2,אוטומטית,2143,דיזל,,,אשדוד - אשקלון,אשדוד,10000.0,1,2022-08-16,2022-08-16,"לפירוק 
הכל עובד הכל תקין 
חוץ ממנוע 
מנוע טפוס",nan,494000,
מרצדס,2020, GLA,1,אוטומטית,1300,בנזין,,,קריות,קרית אתא,260000.0,1,2022-08-16,2022-08-16,"מרצדס GLA 200 Premium 
כחדשה
נהג יחיד
טסט לשנה
בוצע טיפול שנתי לפני שבוע במוסך מורשה",nan,20000,
מרצדס,2017, 350,1,אוטומטית,2000,היברידי,,,ירושלים והסביבה,ירושלים,175000.0,1,2022-08-15,2022-08-15,אוטו חדש ונקי אין תיפת צבע על אוטו בלו תעונות,nan,82000,
מרצדס,2005, SLK,8,אוטומטית,3500,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,80000.0,3,2022-08-14,2022-08-14,"רכב מדהים
גג נפתח מלא קשיח
רכב היומיומי שלי",אפור עכבר,250000,
מרצדס,2019, 350,4,אוטומטית,1991,בנזין,,,nan,בועינה נוגידאת,335000.0,1,2022-08-13,2022-08-13,"מרצדס בנץ גרמניה סידן Amg 350 שחור
 בנזין/ חשמל
שמורה ומטופלת בזמן",nan,,
מרצדס,2017, 180,1,אוטומטית,1600,בנזין,,,רמת השרון - הרצליה,הרצליה,172000.0,1,2022-08-05,2022-08-05,"במצב חדש!!! מפואר
24,000 ק״מ
4 צמיגים חדשים",nan,24000,
מרצדס,2011, 63,6,אוטומטית,6200,בנזין,,,nan,נחף,130000.0,1,2022-08-03,2022-08-03,"ML63 AMG , רכב חזק מאוד , 510 כ""ס, ללא תאונות, נהג יחיד מבוגר
מתחייב על הכול, אפשרות החלפה על מרצדס S CLASS &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; כל התוספות",nan,170000,
מרצדס,2017, CLA,1,אוטומטית,2000,בנזין,,,באר שבע והסביבה,באר שבע,2400000.0,1,2022-08-03,2022-08-03,"חדש לגמרי , מצב מעולה , מטופל בחברה , שמור מאוד 
קילומטראג׳ נמוך מטוד &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; הרכב עם כל התוספות , CLA 250 AMG ספורט , גג פנורמי",nan,48000,
מרצדס,2017, CLA,1,אוטומטית,2000,בנזין,,,באר שבע והסביבה,באר שבע,240000.0,1,2022-07-31,2022-07-31,"רכב במצב מעולה , חדש לגמרי , נהגת יחידה , לא נוסע הרבה , מטופל בחברה , שמור מאוד &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גג פנורמי , כסאות ספורט ,כל התוספות sport CLA 250 AMG",nan,48000,
מרצדס,2011, C-CLASS קופה,2,אוטומטית,1800,בנזין,,,ירושלים והסביבה,ירושלים,75000.0,1,2022-07-26,2022-07-26,רכב נדיר מצב מצויין קמ נמוך רק יד שניה(01)לא בשבת &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גג פנורמי כסאות עור,nan,140000,
